Sample	Plot	Treatment	Clone	Replicate	Group	Block	Dothi	TotalHt	DBH	CrownHt
19	Plot 72	Control	AxC	1	G3	B2	84.61538462	3.553846154	5.3	0.2
3	Plot 28	Urea	AxC	1	G1	B1	52.5	3.675	5.916666667	0.2
22	Plot 79	Urea	AxC	2	G4	B2	43.57142857	3.828571429	6.2	0.15
8	Plot 45	Urea	AxC	3	G1	B1	41.81818182	2.775	4.572727273	0.2
18	Plot 70	Control	C19	1	G3	B2	32	4.4	7.053333333	0.2
26	Plot 92	Control	C19	2	G6	B3	47.5	4.083333333	6	0.1
12	Plot 55	Control	C19	3	G2	B1	30	4.464285714	7.392857143	0.1
10	Plot 48	Urea	C19	1	G1	B1	37.5	4.525	6.8	0.2
21	Plot 78	Urea	C19	2	G4	B2	51.53846154	4.615384615	7.169230769	0.2
7	Plot 42	Urea	C19	3	G1	B1	41.53846154	4.530769231	7.446153846	0.2
17	Plot 69	Control	C31	1	G3	B2	33.57142857	5.092857143	7.85	0.1
25	Plot 91	Control	C31	2	G6	B3	49.16666667	4.8	7.05	0.1
14	Plot 60	Control	C31	3	G2	B1	45.38461538	5.015384615	7.7	0.2
5	Plot 35	Urea	C31	1	G1	B1	28.33333333	5.233333333	7.933333333	0.2
6	Plot 39	Urea	C31	2	G1	B1	16	5.425	8.7	0.2
24	Plot 82	Urea	C31	3	G4	B2	40.76923077	5.107692308	7.85	0.1
27	Plot 94	Control	C37	1	G6	B3	40	3.983333333	5.545454545	0.1
13	Plot 58	Control	C37	2	G2	B1	41.42857143	3.864285714	5.614285714	0.2
15	Plot 63	Control	C37	3	G3	B2	70	3.757142857	5.235714286	0.1
1	Plot 26	Urea	C37	1	G1	B1	47.69230769	4.038461538	6	0.2
4	Plot 29	Urea	C37	2	G1	B1	51.66666667	3.941666667	5.8	0.2
20	Plot 75	Urea	C37	3	G4	B2	36.15384615	4.123076923	6.176923077	0.1
11	Plot 52	Control	GF19	1	G2	B1	31.81818182	4.891666667	8.327272727	0.1
28	Plot 105	Control	GF19	2	G6	B3	46.66666667	3.725	5.95	0.2
16	Plot 68	Control	GF19	3	G3	B2	60.83333333	4.55	7.308333333	0.1
2	Plot 27	Urea	GF19	1	G1	B1	47.5	4.116666667	7.158333333	0.2
9	Plot 46	Urea	GF19	2	G1	B1	45.38461538	5.184615385	8.523076923	0.2
23	Plot 80	Urea	GF19	3	G4	B2	35.83333333	4.323076923	7.158333333	0.1
